userId,video_id,rating
1,tugFFhML7VY,2.9
1,3shrder58iU,5.0
1,sTvY9Llqtms,5.0
1,U1RASlbIIVc,5.0
1,jr7W7smqXg4,4.7
1,OblwxqKPyLg,4.0
1,Xk_Gv89jzas,4.7
1,hXzcIoq2ing,4.1
1,oMOljrWUUXc,3.7
1,oOZ_Q6qzXuw,3.9
1,cqg5oc20nxk,4.0
1,mNj27CgDAhQ,4.4
1,oMOljrWUUXc,4.5
1,fQvGSkTYJSE,4.4
1,dm6ZSfE5muc,2.5
1,1PhPYr_9zRY,4.6
1,N4MtzsregT8,3.8
1,Ow-plaMZHT8,3.2
1,s0Uxzh1E94U,3.2
1,aaSEdxiITJk,3.5
1,sTvY9Llqtms,2.9
1,8U-7F0QfLCE,4.6
1,76XBys_HXq4,4.1
1,sefscV3GvWM,3.6
1,0YVbVXOjJv4,4.0
1,8U-7F0QfLCE,3.9
1,1j_k5WCFShQ,5.0
1,sefscV3GvWM,5.0
1,glHNu91zUdA,2.9
1,azUbCdcAeFM,3.1
1,UUreMfN5eNA,2.9
1,4a1TUszkMfI,3.7
1,azUbCdcAeFM,3.2
1,e5D3O4yCmCg,3.9
1,9i3GtPIS0-4,4.7
1,sTvY9Llqtms,4.6
1,rqTpMCq8uhk,4.3
1,LgmxMuW6Fsc,4.5
1,pjuPpVLXDQg,5.0
1,muAPJiMho2Y,4.3
1,JuUi12XbalE,3.0
1,RggWMGU2iYw,3.3
1,pjuPpVLXDQg,4.8
1,JRocY48P0qA,4.1
1,r2H8Oqm1eQ4,3.4
1,#NOME?,4.9
1,#NOME?,3.8
1,yBXcNcBnImc,4.2
1,hivGryRKGvk,4.1
1,XSP5yHZN1I4,4.1
1,FvoPOdop0hA,2.4
1,r2H8Oqm1eQ4,4.7
1,WIWb8f1WIyQ,3.1
1,oh0k_4SAXpM,4.2
1,zMKI64iY2CY,4.7
1,zMKI64iY2CY,3.9
1,PHLY4a5fTjU,4.1
1,Y1n8F4uClUU,3.4
1,zMKI64iY2CY,4.2
1,oOZ_Q6qzXuw,3.0
1,sTvY9Llqtms,4.9
1,qqOR3qXyTY0,4.3
1,QRl9IO2ORGE,4.8
1,_KEN-cxmGw8,4.7
1,Ow-plaMZHT8,4.7
1,YbQ-NgaCntk,3.7
1,oOZ_Q6qzXuw,5.0
1,X2BfTXIwABo,5.0
1,A2dIL4sf4TQ,4.5
1,PoNWU2cox9w,4.4
1,rqTpMCq8uhk,4.7
1,S6YYun90S8g,3.7
1,NKin_i1pcFA,3.4
1,oOZ_Q6qzXuw,5.0
1,jr7W7smqXg4,2.4
1,SETyZLN0UmI,3.2
1,#NOME?,3.8
2,bMrRN99DYKU,4.0
2,UhZ56rcWwRQ,5.0
2,v6xUgawDQB0,4.2
2,WkZVm_o3Sy4,4.4
2,OGPsw2f_HQk,3.9
2,tN_8CwE8ULI,3.3
2,d8GHT9nK66Y,3.3
2,bw_ob5GFi6I,4.0
2,o9zRQijCN5w,2.8
2,iQp1_GfDhwQ,3.4
2,Es9CfWMmPRU,5.0
2,e-XM8pek6Kg,3.2
2,PjqKPHZJgF0,4.5
2,RUbWdNGaYEg,4.9
2,BC19fhyTG_M,4.3
2,flLc6LmAG6c,4.3
2,SS0ebmCqHxs,4.5
2,svZScJMh4Pg,3.2
2,v_CMMWCN5nQ,3.4
2,1Nu_oGucpDI,3.7
2,XUqRem0W8L8,3.7
2,RQm0nKoODo4,4.8
2,_Ihg1_3-0os,1.6
2,_feQprPLL98,3.9
2,HqXKEgTYZBQ,4.3
2,whwUlzuLfs4,4.2
2,oLDbO545aKQ,3.5
2,_yiQHtBFYkg,4.1
2,hHaUQh6Gx-Q,5.0
2,tCXGJQYZ9JA,5.0
2,tE5C3O71Xqo,3.8
2,Da-2h2B4faU,4.5
2,oX8-6whswEA,3.0
2,8UHMSVOHddE,3.7
2,XCrJ3NflOpE,4.2
2,U9BwWKXjVaI,3.4
2,r4VJ8o6yqzM,3.1
2,7UoP9ABJXGE,3.4
2,UhiXEgqhBWs,3.5
2,bJWDajO2SZE,3.3
2,36DAv_m8Mlw,3.5
2,w8vsuOXZBXc,4.7
2,MBR2kxt7RK8,4.0
2,Bzu4G8uZs-4,4.0
2,D18e8aU-UWs,4.3
2,2in8XqiElwc,3.8
2,ixxR3ZoqnF0,5.0
2,#NOME?,4.2
2,7C2z4GqqS5E,3.8
2,VHXPFrOfndg,3.8
2,CzCfd0eaWoA,4.0
2,4nq0tT_SAD0,4.4
2,I2sRc3j7IU0,3.6
2,VA7Y_Psp5l4,4.3
2,Sqbv7cCM5AI,4.1
2,VAk6bUhETHM,3.9
2,vOKOamXsXYE,4.8
2,vjI4Alon-3Q,3.6
2,CwKp6Xhy3_4,2.7
2,WQd6x4KmVhA,3.7
2,ycy30LIbq4w,4.5
2,D52qnC7dJcQ,3.9
2,pOEzjT-SED0,4.6
2,S9KxqRUcnCU,4.5
2,l884wKofd54,2.2
2,tlILlcCE8Sc,2.5
2,07S_Glj3uYs,3.0
2,CX11yw6YL1w,4.4
2,ffxKSjUwKdU,3.8
2,I2sRc3j7IU0,2.7
2,hRnVb4z6Hw0,3.1
2,u_C4onVrr8U,4.5
2,DdLYSziSXII,4.4
2,bR1d8l92Q8Q,3.2
3,ZWAkzvL5Ho4,3.6
3,vjSohj-Iclc,3.9
3,9U2kr_QfhoQ,4.6
3,JnepCulEQOo,4.0
3,I8TVdFbFMg4,3.2
3,I8TVdFbFMg4,3.8
3,jr7W7smqXg4,3.8
3,76XBys_HXq4,4.2
3,4GZBn4_SfQQ,3.3
3,aY-0uBIYYKk,2.7
3,AshvBTw5Z84,4.5
3,Wzvr_rtI82w,4.4
3,IOLzpBzUXZs,3.0
3,SpdgahDp2Wg,5.0
3,5Q7mKQmNWSE,2.9
3,kIUHDwn51y8,3.0
3,0f7CuSU_huU,4.1
3,aY-0uBIYYKk,4.5
3,DuTnYi_HW2o,4.3
3,smjf3M6-1XE,3.5
3,rdsABjAP8Yg,3.2
3,zZTyHHxJAzw,4.2
3,kZYKnREz9Vo,3.7
3,Q1INhRBrwKM,4.3
3,vI4LHl4yFuo,4.8
3,#NOME?,3.9
3,9U2kr_QfhoQ,3.0
3,wJJqGh2HLM8,3.6
3,AhIh8lLYzLo,2.9
3,kD06SQtfA5s,3.8
3,b7zWwo9dbiU,3.9
3,qOioqgPyCwE,4.1
3,aMQbRpxgFvs,5.0
3,WIWb8f1WIyQ,4.2
3,tpa4kp4lK60,3.5
3,U0hAC8O7RoI,5.0
3,pjuPpVLXDQg,5.0
3,VSVXhc5LlII,3.6
3,t6rHHnABoT8,3.1
3,Gzy_nCkn88U,5.0
3,oOZ_Q6qzXuw,5.0
3,PtPNGls_sUg,3.9
3,azUbCdcAeFM,3.3
3,pqQrL1K0Z5g,4.5
3,EUwzWHD3Htg,4.4
3,sTvY9Llqtms,3.8
3,XCrJ3NflOpE,4.0
3,S6YYun90S8g,3.3
3,USXoINPEhoA,2.7
3,XcqS9okipTU,4.1
3,CvkOWb1U-LI,3.6
3,4_aR3HqFrr0,3.8
3,oMOljrWUUXc,4.5
3,AQxBqfy4Faw,4.5
3,0f7CuSU_huU,3.2
3,UUreMfN5eNA,5.0
3,oMOljrWUUXc,4.6
3,WACO9TqZEh0,3.1
3,UEu_f6iNfAs,4.1
3,Y1n8F4uClUU,4.6
3,Q1INhRBrwKM,3.8
3,oSEeK9yDNQI,3.6
3,X2BfTXIwABo,4.0
3,Q1INhRBrwKM,3.6
3,DjjBg8hTaPo,3.7
3,2fGXDFiFBhg,4.2
3,C-DfipidnOE,3.5
3,hHFuZVGpBC0,4.1
3,4L-BPQVZYXM,3.8
3,eEDZuFw34YM,3.2
3,RggWMGU2iYw,3.8
3,IOLzpBzUXZs,3.7
3,aY-0uBIYYKk,3.6
3,XCrJ3NflOpE,3.5
3,sefscV3GvWM,3.4
3,U0hAC8O7RoI,4.0
3,KhxqJzr6FAE,3.3
3,hivGryRKGvk,1.5
3,nzPcwk6O1Ks,4.3
3,FvoPOdop0hA,3.1
3,98QDI87DdcY,5.0
3,oOZ_Q6qzXuw,4.9
3,-4s2MeUgduo,2.9
3,6VhU_T463sU,4.1
3,#NOME?,4.0
3,EUwzWHD3Htg,5.0
3,fyRwjMZFeJ4,3.9
3,76XBys_HXq4,4.4
3,ibUV-bxcCZA,3.0
3,U0hAC8O7RoI,3.9
3,QAt8kU3TQfQ,4.4
3,JnepCulEQOo,3.9
3,Y1n8F4uClUU,5.0
3,lWyRTOABEq4,3.2
3,aE4XqQZLkek,3.4
3,mUSv8b-V5I4,4.1
3,PtPNGls_sUg,4.8
3,0YVbVXOjJv4,3.7
3,sTvY9Llqtms,4.0
3,9i3GtPIS0-4,3.6
3,4L-BPQVZYXM,3.1
3,tpa4kp4lK60,3.3
3,qZHycHI3F1Q,4.0
4,hDEc4ImIVHk,4.4
4,lYEj9snU838,4.5
4,teA0Z7ltRSY,3.5
4,ifkRhaEDzzo,4.4
4,zFuOksI6AVg,2.4
4,VFreC_yfQqs,3.7
4,wc4v9uT6GWc,4.6
4,00RpZZThSAs,4.3
4,i4YQRLQVixM,4.1
4,sciODVQP43w,3.9
4,IZNAp5g-nPQ,4.9
4,Z2ttpo7c95s,4.0
4,NuZJQ-YS7_w,5.0
4,8_rTIAOohas,5.0
4,S9Xg6iUxYXU,2.7
4,6J-D86wfxiE,3.3
4,e22yH5hUQ_A,4.4
4,hBvcngHRTFg,4.9
4,ObvUP5YxAKg,3.8
4,#NOME?,4.4
4,aVpvVq_yZLM,3.7
4,mJ-lFt9_uxI,5.0
4,MFWF9dU5Zc0,3.2
4,7e-uqc8H2BU,4.0
4,84p7f-Rh-RY,4.1
4,MvFcY9rTPx8,3.9
4,SJXXGL_8VcU,2.5
4,O6BODAJVYc8,3.0
4,#NOME?,3.7
4,symdi5KSJts,3.9
4,fbL1ZoAQgUU,3.5
4,vU7v5A5P8BM,4.0
4,30UjfElERlc,4.8
4,b2txBXQGjJ8,4.3
4,IKCcW7d1tlg,4.0
4,xPsEiZAOb_I,3.4
4,oNpzeIdOtlk,5.0
4,Kc6CIwBVo5s,4.2
4,BXnGUUsdnR8,4.5
4,H08xgoXkpa8,3.6
4,WCKG9J1d5iE,5.0
4,HPdmdO0ZxgA,4.2
4,HNvX4pY1TLI,4.6
4,kjC1zmZo30U,3.3
4,aeoeECXFksI,5.0
4,THr_seahKUI,4.3
4,0XARMt12oFk,3.3
4,uA8GdJJqz_s,2.3
4,S9Xg6iUxYXU,3.6
4,eZQdQ5pV6EE,3.8
4,S9KxqRUcnCU,3.3
4,08l0K3UyUXE,4.4
4,xXf2ct7C2fQ,3.5
4,TUmyygCMMGA,4.6
4,8LSpT5xF3UI,4.3
4,XI1tgzimsRc,4.2
4,H08xgoXkpa8,3.0
4,QgaYsdnOMiM,3.7
4,OzKmR5BLdbQ,5.0
4,6hIFDfP9rNc,3.0
4,wI89nVn6LHk,4.2
4,evhLzq7Gsak,2.9
4,5Ad2pIlg3Dk,3.5
4,0nVO-yU0oxM,4.5
4,XltvwqBZIPc,3.9
4,H_4ESBLJXQc,4.1
4,MvFcY9rTPx8,5.0
4,EJjh19zO1lk,3.0
4,y8lFgF_IjPw,2.1
4,G_UHknhNbAQ,5.0
4,sw7RElt-SvE,4.3
4,s9C8lsOE4ik,4.5
4,zPJl2e38S4g,3.7
4,Bhplg8YCu-M,3.9
5,uU3kLBo_ruo,4.9
5,_Ybm_ZNLu0w,3.9
5,V6ElE2xs48c,4.1
5,Zzi4EQKBbOY,4.9
5,f5Y3cf3MFIw,4.0
5,MIQKlHSD89E,4.6
5,Pfat40RFnc4,3.8
5,nn8YGPZdCvA,2.1
5,_Ybm_ZNLu0w,4.0
5,P21a5Uty-uc,3.9
5,7_FJUSBFbJM,3.0
